contract_award_unique_key,award_id_piid,parent_award_id_piid,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award,base_and_all_options_value,potential_total_value_of_award,primary_place_of_performance_city_name,primary_place_of_performance_state_code,type_of_contract_pricing,contract_bundling,naics_description,extent_competed,solicitation_procedures,type_of_set_aside,evaluated_preference,number_of_offers_received,commercial_item_acquisition_procedures,small_business_competitiveness_demonstration_program,performance_based_service_acquisition,multi_year_contract,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business
CONT_AWD_0005_6800_EPC18008_6800,0005,EPC18008,0.0,317454.44,0.0,556018.35,0.0,556018.35,CINCINNATI,OH,FIRM FIXED PRICE,NOT BUNDLED,GRAPHIC DESIGN SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL PRODUCTS/SERVICES,f,YES - SERVICE WHERE PBA IS USED.,YES,t,t,t,f,f,f,f,f,f,f
CONT_AWD_0005_6800_EPC18008_6800,0005,EPC18008,0.0,327454.44,0.0,567243.48,0.0,567243.48,CINCINNATI,OH,FIRM FIXED PRICE,NOT BUNDLED,GRAPHIC DESIGN SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL PRODUCTS/SERVICES,f,YES - SERVICE WHERE PBA IS USED.,YES,t,t,t,f,f,f,f,f,f,f
CONT_AWD_0005_6800_EPC18008_6800,0005,EPC18008,0.0,317454.44,0.0,556018.35,0.0,556018.35,CINCINNATI,OH,FIRM FIXED PRICE,NOT BUNDLED,GRAPHIC DESIGN SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL PRODUCTS/SERVICES,f,YES - SERVICE WHERE PBA IS USED.,YES,t,t,t,f,f,f,f,f,f,f
CONT_AWD_0005_6800_EPC18008_6800,0005,EPC18008,0.0,317454.44,0.0,556018.35,0.0,556018.35,CINCINNATI,OH,FIRM FIXED PRICE,NOT BUNDLED,GRAPHIC DESIGN SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL PRODUCTS/SERVICES,f,YES - SERVICE WHERE PBA IS USED.,YES,t,t,t,f,f,f,f,f,f,f
CONT_AWD_0005_6800_EPC18008_6800,0005,EPC18008,10000.0,327454.44,11225.13,567243.48,11225.13,567243.48,CINCINNATI,OH,FIRM FIXED PRICE,NOT BUNDLED,GRAPHIC DESIGN SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL PRODUCTS/SERVICES,f,YES - SERVICE WHERE PBA IS USED.,YES,t,t,t,f,f,f,f,f,f,f
CONT_AWD_68HE0320F0077_6800_68HE0118D0004_6800,68HE0320F0077,68HE0118D0004,0.0,309607.87,0.0,477626.28,0.0,477626.28,HUNT VALLEY,MD,FIRM FIXED PRICE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,6.0,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0320F0077_6800_68HE0118D0004_6800,68HE0320F0077,68HE0118D0004,0.0,309607.87,0.0,477626.28,0.0,477626.28,HUNT VALLEY,MD,FIRM FIXED PRICE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,6.0,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0320F0077_6800_68HE0118D0004_6800,68HE0320F0077,68HE0118D0004,2386.44,311994.31,0.0,477626.28,0.0,477626.28,HUNT VALLEY,MD,FIRM FIXED PRICE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,6.0,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0123F0046_6800_68HERH19D0010_6800,68HE0123F0046,68HERH19D0010,19528.17,9799696.81,19528.17,9799696.81,19528.17,9799696.81,WATERBURY,CT,FIRM FIXED PRICE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,2.0,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,t,f,t,f,f,f,f
CONT_AWD_68HE0123F0046_6800_68HERH19D0010_6800,68HE0123F0046,68HERH19D0010,9780168.64,9780168.64,9780168.64,9780168.64,9780168.64,9780168.64,WATERBURY,CT,FIRM FIXED PRICE,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,2.0,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,t,f,t,f,f,f,f
CONT_AWD_0061_6800_EPS81302_6800,0061,EPS81302,0.0,0.0,0.0,219483.95,0.0,219483.95,DENVER,CO,TIME AND MATERIALS,NOT A BUNDLED REQUIREMENT,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_IDV_68HE0118D0010_6800,68HE0118D0010,,0.0,25000.0,,,0.0,850000000.0,,,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,51.0,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
